Name,zcmb,zhel,error,mb,error_mb,X1,error_X1,c,error_c,LogMst,error_Mst,tmax,error_tmax,"cov(mb,s)","cov(mb,c)","cov(s,c)",set,Radeg,Dedeg,bias,omegam,error_omegam,alpha,error_alpha,beta,error_beta,MB1,error_MB1,deltaM,error_deltaM,deltaM_9,deltaM_9.5,deltaM_10.5,deltaM_11,deltaM_9.9,deltaM_10.1,chi_sq,mydeltaM,mydeltaM_max,mydeltaM_min,deltaM_sSFR,deltaM_sSFR_err,,Host_Galaxy_Data,SN_Name,zcmb,logMst,Mst_upper,Mst_lower,logSFR,SFR_upper,SFR_lower,logsSFR,sSFR_upper,sSFR_lower,local_SFR,local_SFR_upper,local_SFR_lower
05D3kp,0.850729,0.85,0,24.140236,0.098855,1.278161,0.234665,-0.144534,0.049809,10.62,0.1265,53530.04564,0.325975,0.002099,-0.000406,0.000435,1,215.012268,52.270827,-0.016442,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3kp,0.85,10.67,10.78,10.53,0.29,0.53,0.24,-10.38,-10,-10.54,,,
05D3kt,0.64864,0.648,0,23.974975,0.092708,-0.449789,0.196487,0.056579,0.049995,9.138,0.1745,53530.93968,0.269615,0.001847,0.0007,0.000438,1,214.973834,52.742986,-0.001425,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3kt,0.648,9.18,9.44,9.09,0.72,0.91,-0.08,-8.46,-8.18,-9.52,,,
05D3kx,0.219462,0.219,0,20.852122,0.085341,0.698942,0.062624,-0.039907,0.024042,10.63,0.0675,53534.17066,0.068402,4.10E-05,0.000531,-0.000223,1,215.458413,53.137119,-0.001103,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3kx,0.219,10.65,10.69,10.55,0.71,1,0.69,-9.94,-9.55,-10,,,
05D3la,0.936755,0.936,0,24.494384,0.108686,-0.191832,0.301264,-0.103022,0.052953,9.599,0.104,53535.90032,0.393796,0.006717,-0.001169,0.000188,1,215.355908,52.357973,-0.025126,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3la,0.936,9.66,9.74,9.53,1.32,1.38,1,-8.34,-8.15,-8.74,,,
05D3lb,0.647639,0.647,0,23.898505,0.09193,0.310288,0.183447,0.032706,0.050872,8.931,0.23,53528.65492,0.252784,0.001308,0.000639,7.40E-05,1,214.382325,53.167928,-0.001381,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3lb,0.647,8.97,9.22,8.76,-0.21,0.68,-0.32,-9.18,-8.08,-9.54,,,
05D3lc,0.461564,0.461,0,22.975035,0.087413,-0.747912,0.107943,-0.046199,0.024734,10.777,0.054,53527.66552,0.13777,0.000239,0.00044,-7.40E-05,1,215.595501,52.478865,0.001517,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3lc,0.461,10.81,10.88,10.77,-0.21,-0.19,-3,-11.02,-10.96,-13.88,,,
05D3lr,0.600603,0.6,0,23.845284,0.094433,0.178065,0.345707,0.105799,0.04074,10.873,0.051,53541.01244,0.310397,0.008341,0.000443,0.001105,1,215.55059,53.184275,0.000334,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3lr,0.6,10.91,10.96,10.85,0.82,0.93,0.79,-10.09,-9.92,-10.17,,,
05D3mh,0.670654,0.67,0,24.064257,0.095777,0.57067,0.473683,0.054159,0.055451,10.078,0.2765,53558.05389,0.529191,0.008103,0.000604,0.003585,1,214.749304,52.66756,-0.002485,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3mh,0.67,10.12,10.58,10.03,1.79,1.92,0.59,-8.33,-8.11,-9.99,,,
05D3mn,0.760698,0.76,0,24.031872,0.094664,-0.119797,0.292142,-0.04134,0.051904,10.432,0.1145,53559.29094,0.323184,0.002082,3.80E-05,0.00155,1,214.688507,52.323145,-0.008408,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3mn,0.76,10.48,10.66,10.43,-1.45,-0.53,-3,-11.93,-10.96,-13.66,,,
05D3mq,0.246492,0.246,0,21.50567,0.086206,-0.683772,0.170341,-0.000463,0.025963,10.723,0.0765,53575.75796,0.158241,0.001499,0.000614,0.00062,1,214.751783,52.38512,-0.001297,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3mq,0.246,10.74,10.86,10.71,0.63,0.69,0.44,-10.11,-10.02,-10.42,,,
05D3mx,0.470573,0.47,0,23.023421,0.088704,-1.668401,0.155811,-0.078211,0.032265,10.788,0.066,53569.93997,0.151609,0.001252,0.00053,0.000295,1,215.537919,52.219179,0.001587,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3mx,0.47,10.82,10.92,10.79,0.47,0.82,0.1,-10.35,-9.97,-10.82,,,
05D3ne,0.169455,0.169,0,20.293205,0.088415,-1.463743,0.193091,-0.143152,0.030099,11.133,0.1625,53570.81647,0.096811,0.003303,0.000919,0.001615,1,215.262445,52.495438,0.000182,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D3ne,0.169,11.15,11.46,11.13,1.06,1.08,-3,-10.09,-10.05,-14.46,,,
05D4af,0.497379,0.499,0,23.102539,0.088758,0.144823,0.232835,-0.025937,0.031365,8.986,0.0885,53536.78485,0.315698,0.002149,0.000489,-0.000459,1,334.138087,-18.004923,0.001695,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4af,0.499,9.02,9.14,8.97,-0.16,0.56,-0.25,-9.18,-8.41,-9.39,,,
05D4ag,0.638234,0.64,0,23.888138,0.097915,0.488591,0.478357,0.096406,0.06121,8.381,0.3925,53538.62177,0.481692,0.015311,0.001354,0.009242,1,333.447603,-18.165265,-0.00098,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ag,0.64,8.42,8.86,8.07,0.08,0.23,-0.63,-8.34,-7.84,-9.49,,,
05D4av,0.507371,0.509,0,23.559122,0.089015,0.884552,0.179518,0.167894,0.030865,10.285,0.1175,53553.49906,0.261842,0.001276,0.000572,0.000241,1,333.543931,-17.911944,0.001693,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4av,0.509,10.32,10.39,10.16,0.79,0.9,0.37,-9.53,-9.26,-10.02,,,
05D4be,0.535327,0.537,0,22.871803,0.08873,0.907857,0.131158,-0.145357,0.02859,9.44,0.1355,53551.53223,0.193667,0.000777,0.000448,0.000106,1,334.222449,-17.236099,0.001549,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4be,0.537,9.48,9.58,9.31,0.09,0.98,-0.02,-9.39,-8.33,-9.6,,,
05D4bf,0.587285,0.589,0,23.613598,0.091452,0.086435,0.236262,-0.005707,0.041163,10.23,0.084,53551.04486,0.356972,0.00298,0.000561,0.002488,1,334.109775,-18.232067,0.000689,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4bf,0.589,10.27,10.41,10.24,1.81,2.03,1.06,-8.46,-8.21,-9.35,,,
05D4bi,0.773081,0.775,0,24.049363,0.098805,1.040135,0.389928,-0.140416,0.065557,9.109,0.218,53560.31763,0.535716,0.006305,-0.000536,0.001338,1,333.985626,-17.98607,-0.009405,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4bi,0.775,9.16,9.33,8.9,0.08,0.78,-0.11,-9.08,-8.12,-9.44,,,
05D4bj,0.699166,0.701,0,24.107325,0.094894,0.169319,0.296571,0.059883,0.057492,9.265,0.0965,53564.0347,0.345551,0.004875,0.000416,0.001393,1,333.748598,-18.133404,-0.004091,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4bj,0.701,9.31,9.43,9.24,0.98,1.04,0.29,-8.33,-8.2,-9.14,,,
05D4bm,0.370511,0.372,0,22.212225,0.086476,0.253822,0.070247,-0.065948,0.022602,9.047,0.077,53568.06199,0.071325,0.000412,0.000472,0.0001,1,334.269213,-17.677623,0.000172,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4bm,0.372,9.07,9.14,8.99,0.1,0.35,0.03,-8.97,-8.64,-9.11,,,
05D4cn,0.761089,0.763,0,24.081977,0.09585,1.042996,0.245294,-0.017217,0.057979,10.461,0.3055,53583.59885,0.388269,0.002415,-0.000142,0.000522,1,333.381059,-17.288845,-0.008439,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4cn,0.763,10.51,10.76,10.14,1.41,2,0.16,-9.1,-8.14,-10.6,,,
05D4cq,0.699169,0.701,0,23.733171,0.094016,0.688169,0.268968,-0.12201,0.055575,10.554,0.1595,53586.37458,0.381107,0.002667,0.000163,0.000945,1,333.540209,-18.226713,-0.004091,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4cq,0.701,10.6,10.78,10.46,0.55,1.31,-0.3,-10.05,-9.15,-11.08,,,
05D4cs,0.78806,0.79,0,23.975847,0.096033,1.395798,0.212281,-0.109284,0.05006,8.98,0.6325,53588.62295,0.31017,0.001925,-0.00012,-6.00E-06,1,334.324243,-17.88015,-0.010663,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4cs,0.79,9.03,9.56,8.29,-0.15,0.54,-3,-9.18,-7.75,-12.56,,,
05D4cw,0.373513,0.375,0,22.144613,0.086768,-0.833093,0.104207,-0.129299,0.025202,10.503,0.0725,53580.41442,0.162182,0.000313,0.000522,-0.00015,1,333.708668,-17.738765,0.000227,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4cw,0.375,10.53,10.63,10.49,<(-3),,,,,,,,
05D4dt,0.405478,0.407,0,22.801779,0.086962,-0.988887,0.107135,-0.047526,0.024506,10.429,0.115,53609.56918,0.172918,0.000412,0.000478,-6.00E-05,1,333.607695,-17.671111,0.000785,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4dt,0.407,10.46,10.54,10.31,1.12,2.01,0.93,-9.34,-8.3,-9.61,,,
05D4dw,0.852994,0.855,0,24.43276,0.101921,0.333205,0.339532,-0.008102,0.062133,9.994,0.1795,53613.93314,0.576574,0.0036,-0.000796,0.003835,1,334.232825,-18.051461,-0.016663,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4dw,0.855,10.05,10.24,9.88,0.89,1.09,0.1,-9.16,-8.79,-10.14,,,
05D4dy,0.808048,0.81,0,24.608413,0.101592,-0.414682,0.390111,-0.126427,0.065808,8.321,0.1705,53616.38136,0.694348,0.003358,-0.000904,0.004516,1,333.875495,-18.215502,-0.012423,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4dy,0.81,8.37,8.58,8.24,-0.09,0.06,-0.47,-8.46,-8.18,-9.05,,,
05D4ef,0.603272,0.605,0,23.829442,0.092267,-1.558373,0.210171,-0.066074,0.036937,10.437,0.131,53625.59294,0.278134,0.002444,0.000229,-0.000274,1,333.497104,-18.212345,0.000256,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ef,0.605,10.48,10.69,10.42,0.45,0.65,-3,-10.03,-9.77,-13.69,,,
05D4ej,0.58329,0.585,0,23.712643,0.090793,0.226659,0.175164,-0.025602,0.036104,10.133,0.156,53627.80095,0.189342,0.002198,0.000457,0.000193,1,333.968823,-18.195719,0.000784,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ej,0.585,10.17,10.28,9.97,0.76,1.73,0.65,-9.41,-8.24,-9.63,,,
05D4ek,0.534335,0.536,0,23.294733,0.090128,0.262525,0.17794,0.069733,0.031743,10.855,0.1075,53635.63038,0.185443,0.002475,0.000552,0.000778,1,334.114653,-17.736316,0.001558,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ek,0.536,10.89,10.98,10.76,1.45,1.52,1.03,-9.44,-9.24,-9.95,,,
05D4ev,0.72014,0.722,0,24.235443,0.098164,-1.101731,0.288537,-0.027446,0.063891,10.883,0.0615,53631.27308,0.334088,0.006384,0.000169,0.001662,1,333.376765,-17.700785,-0.005436,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ev,0.722,10.93,11.04,10.92,-0.09,0.92,-3,-11.02,-10,-14.04,,,
05D4ff,0.400485,0.402,0,22.587347,0.087548,-0.725286,0.122213,-0.004662,0.025908,10.543,0.1785,53635.84712,0.127215,0.001152,0.000551,0.00025,1,334.083998,-18.042557,0.000702,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4ff,0.402,10.57,10.62,10.26,0.86,1.96,0.84,-9.71,-8.3,-9.78,,,
05D4fg,0.837004,0.839,0,24.189244,0.100539,0.282605,0.271115,-0.15787,0.057629,11.277,0.0915,53641.78019,0.413317,0.003089,-0.000598,0.003122,1,334.172282,-17.595461,-0.015116,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4fg,0.839,11.33,11.43,11.25,1.23,1.52,0.98,-10.1,-9.73,-10.45,,,
05D4fo,0.371508,0.373,0,22.438189,0.086225,-0.700921,0.088176,-0.051433,0.022657,8.381,0.3655,53658.22239,0.079708,0.000337,0.000427,-0.000192,1,333.837135,-17.268076,0.00019,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4fo,0.373,8.41,8.6,7.87,-1.63,-0.18,-2.29,-10.04,-8.05,-10.89,,,
05D4gw,0.806041,0.808,0,24.46554,0.105158,0.028914,0.462087,0.037161,0.068619,8.984,0.114,53678.62951,0.695729,0.010116,-0.001032,0.0038,1,333.697318,-17.531901,-0.012243,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4gw,0.808,9.03,9.17,8.95,0.7,0.79,0.31,-8.33,-8.16,-8.86,,,
05D4hn,0.840005,0.842,0,24.190851,0.103903,1.229904,0.773653,0.069868,0.073415,8.467,0.157,53693.94547,0.831479,0.022589,0.000286,0.028202,1,334.306516,-17.912704,-0.015404,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,05D4hn,0.842,8.52,8.73,8.42,0.19,0.28,-0.29,-8.33,-8.14,-9.02,,,
06D2bk,0.500728,0.499,0,23.276559,0.089131,0.470647,0.277475,0.005322,0.032227,8.617,0.0855,53773.74646,0.319041,0.003618,0.000478,0.001062,1,149.678628,2.171984,0.001697,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2bk,0.499,8.65,8.77,8.6,0.3,0.39,0.09,-8.35,-8.21,-8.68,,,
06D2ca,0.532765,0.531,0,23.313086,0.08987,1.277665,0.353956,0.048672,0.032195,9.808,0.2895,53795.69387,0.454444,0.004596,0.000547,0.001446,1,149.789823,2.302517,0.001571,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2ca,0.531,9.84,10.32,9.74,1.5,1.62,0.47,-8.34,-8.12,-9.85,,,
06D2cc,0.533766,0.532,0,23.454678,0.09473,-0.552437,0.326856,0.081612,0.050044,10.87,0.1085,53788.59167,0.445014,0.00748,0.001152,0.004236,1,149.86203,2.451355,0.001563,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2cc,0.532,10.91,11.09,10.88,0.77,0.99,0.3,-10.14,-9.89,-10.79,,,
06D2cd,0.932229,0.93,0,24.775178,0.130385,0.258122,0.959484,0.023043,0.093479,7.908,0.4595,53790.30316,1.36976,0.052919,-0.001771,0.033886,1,150.241504,2.534039,-0.024666,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2cd,0.93,7.96,8.27,7.35,-0.8,-0.26,-1.03,-8.76,-7.61,-9.3,,,
06D2ce,0.822103,0.82,0,24.189188,0.104677,2.000361,0.923527,-0.005164,0.076366,11.326,0.0705,53799.7146,1.275875,0.010754,-0.000991,0.030759,1,150.434247,2.713314,-0.013711,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2ce,0.82,11.38,11.5,11.36,0.35,0.38,-3,-11.03,-10.98,-14.5,,,
06D2ck,0.553797,0.552,0,23.411247,0.091857,0.012383,0.398176,-0.031799,0.03815,11.193,0.066,53793.70948,0.419397,0.008153,0.000778,0.005545,1,150.366733,1.86363,0.001336,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2ck,0.552,11.23,11.31,11.18,0.09,0.2,-3,-11.14,-10.98,-14.31,,,
06D2fb,0.125298,0.124,0,19.752286,0.085713,-0.356571,0.055126,-0.019485,0.024631,9.74,0.124,53853.75715,0.079571,-7.20E-05,0.000615,-0.000118,1,149.883946,1.827922,0.002649,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2fb,0.124,9.75,9.88,9.63,0.06,0.45,-0.26,-9.69,-9.18,-10.14,,,
06D2ga,0.842123,0.84,0,24.283047,0.112024,1.261243,0.690285,-0.059406,0.072925,9.051,0.2885,53869.08121,0.661137,0.025691,-0.000935,0.014293,1,149.783787,1.938493,-0.015607,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2ga,0.84,9.1,9.45,8.87,-0.66,0.81,-0.86,-9.76,-8.06,-10.31,,,
06D2gb,0.443668,0.442,0,22.994747,0.091594,-1.632468,0.247572,-0.01406,0.038694,10.905,0.1245,53872.50264,0.328181,0.005695,0.001016,0.003213,1,150.197581,1.985406,0.001333,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D2gb,0.442,10.94,11.14,10.89,-0.99,-0.08,-3,-11.93,-10.97,-14.14,,,
06D3bz,0.727675,0.727,0,23.946563,0.099419,-0.794668,0.406687,-0.106786,0.067278,10.293,0.062,53776.52655,0.431772,0.010708,-5.90E-05,0.006423,1,214.29184,53.024826,-0.005952,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3bz,0.727,10.34,10.38,10.26,0.23,0.73,0.12,-10.11,-9.53,-10.26,,,
06D3cc,0.683659,0.683,0,24.054688,0.115261,0.691964,0.632202,-0.000385,0.08479,10.083,0.127,53760.4785,0.737077,0.037635,-0.000869,0.002728,1,214.381668,52.912473,-0.003185,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3cc,0.683,10.13,10.3,10.04,0.62,0.7,-0.07,-9.51,-9.34,-10.37,,,
06D3df,0.442548,0.442,0,22.663818,0.08709,1.153024,0.164206,-0.026193,0.023283,10.46,0.032,53850.71007,0.368635,-0.000421,0.000437,-0.000554,1,215.571703,52.957682,0.00132,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3df,0.442,10.49,10.52,10.45,0.45,0.74,0.44,-10.04,-9.71,-10.08,,,
06D3do,0.726679,0.726,0,23.896775,0.094974,0.614699,0.477428,-0.072211,0.052768,8.709,0.183,53849.51006,1.293684,-0.002774,0.000327,-0.001666,1,214.247465,52.882543,-0.005883,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3do,0.725,8.76,8.92,8.56,-0.34,0.25,-0.46,-9.1,-8.31,-9.38,,,
06D3dt,0.28251,0.282,0,22.151638,0.085709,0.087556,0.095,0.089097,0.022381,9.589,0.069,53849.02992,0.227869,1.00E-05,0.000492,9.00E-05,1,214.340267,52.452816,-0.001163,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3dt,0.282,9.61,9.68,9.54,1.28,1.3,1.2,-8.33,-8.24,-8.48,,,
06D3ed,0.404549,0.404,0,22.602742,0.086483,-0.385357,0.081308,-0.069037,0.022827,9.512,0.205,53876.17762,0.135805,0.00017,0.000417,-0.00012,1,214.699174,52.756559,0.00077,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3ed,0.404,9.54,9.64,9.23,-0.12,0.71,-0.21,-9.66,-8.52,-9.85,,,
06D3el,0.519611,0.519,0,22.873755,0.088502,0.770182,0.109068,-0.141498,0.027412,9.554,0.0975,53894.37982,0.121007,0.000708,0.000449,0.000102,1,214.254528,52.232401,0.001655,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3el,0.519,9.59,9.65,9.45,0.07,0.43,0.05,-9.52,-9.02,-9.6,,,
06D3em,0.690652,0.69,0,24.378431,0.095502,-0.153659,0.359416,0.177029,0.061598,9.459,0.2445,53881.73437,0.585974,0.004822,0.000504,0.001611,1,214.847581,53.023013,-0.003584,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,06D3em,0.69,9.5,9.8,9.31,0.31,1.08,-0.84,-9.19,-8.23,-10.64,,,
