Name,zcmb,zhel,error,mb,error_mb,X1,error_X1,c,error_c,LogMst,error_Mst,tmax,error_tmax,"cov(mb,s)","cov(mb,c)","cov(s,c)",set,Radeg,Dedeg,bias,omegam,error_omegam,alpha,error_alpha,beta,error_beta,MB1,error_MB1,deltaM,error_deltaM,deltaM_9,deltaM_9.5,deltaM_10.5,deltaM_11,deltaM_9.9,deltaM_10.1,chi_sq,mydeltaM,mydeltaM_max,mydeltaM_min,deltaM_sSFR,deltaM_sSFR_err,,Host_Galaxy_Data,SN_Name,zcmb,logMst,Mst_upper,Mst_lower,logSFR,SFR_upper,SFR_lower,logsSFR,sSFR_upper,sSFR_lower,local_SFR,local_SFR_upper,local_SFR_lower
03D3ba,0.291718,0.2912,0,21.961068,0.093479,0.760688,0.172975,0.116118,0.035364,10.211,0.0935,52749.60547,0.804557,-0.002911,0.001326,-0.001142,1,214.139297,52.34219,-0.001074,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D3ba,0.291,10.23,10.38,10.2,0.51,0.82,0.19,-9.72,-9.38,-10.19,,,
03D3bl,0.35582,0.3553,0,22.926619,0.087008,0.055758,0.192657,0.204749,0.029878,10.831,0.0925,52787.14234,0.288522,0.000395,0.000662,-0.000535,1,214.982501,53.097401,-9.40E-05,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D3bl,0.355,10.86,11.01,10.82,1.12,1.18,0.65,-9.74,-9.64,-10.36,,,
03D3cd,0.461274,0.4607,0,22.575127,0.095948,1.861682,0.565093,-0.043023,0.038208,9.339,0.152,52801.72901,0.226325,0.021901,0.001309,0.010876,1,214.666364,52.612079,0.001514,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D3cd,0.461,9.37,9.61,9.3,0.9,1.02,0.2,-8.47,-8.28,-9.41,,,
03D4ag,0.28361,0.285,0,21.256943,0.086683,0.937399,0.104658,-0.085197,0.023476,10.628,0.099,52830.93126,0.095579,0.001009,0.000524,-0.000243,1,333.690959,-17.739655,-0.001153,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4ag,0.285,10.65,10.71,10.51,0.89,1.18,0.87,-9.76,-9.33,-9.84,,,
03D4at,0.632234,0.634,0,23.73918,0.093125,0.208542,0.330258,-0.050531,0.066776,8.751,0.0775,52816.95953,0.560938,0.003702,0.000788,0.001452,1,333.600166,-17.776726,-0.000739,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4at,0.634,8.79,8.86,8.71,-0.1,0.23,-0.16,-8.89,-8.48,-9.02,,,
03D4au,0.466414,0.468,0,23.789546,0.09035,0.376996,0.332539,0.122416,0.043376,9.464,0.1065,52816.1772,0.504015,0.003236,0.00084,0.000892,1,334.041366,-18.07759,0.001557,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,,,,,,,,,,,,,,
03D4cj,0.268624,0.27,0,21.058469,0.086242,1.150557,0.085414,-0.08012,0.023199,6,5,52889.69424,0.093377,0.0006,0.000542,-4.40E-05,1,334.027611,-17.704656,-0.001259,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,,,,,,,,,,,,,,
03D4cx,0.94689,0.949,0,24.460375,0.115036,-0.095636,0.673245,0.056711,0.065385,11.008,0.157,52882.82656,1.127614,0.018281,-0.002054,0.001302,1,333.64064,-17.587511,-0.026152,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4cx,0.949,11.06,11.33,11.02,0.04,0.52,-3,-11.02,-10.5,-14.33,,,
03D4cy,0.924917,0.927,0,24.705851,0.125384,0.863344,0.639964,-0.057529,0.07152,9.705,0.2355,52900.10121,0.799756,0.028082,-0.00237,0.006754,1,333.418394,-17.681641,-0.023921,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4cy,0.927,9.76,10.17,9.7,1.19,1.61,0.6,-8.57,-8.09,-9.57,,,
03D4cz,0.693165,0.695,0,24.03207,0.100242,-1.763859,0.384538,-0.076797,0.085271,10.389,0.245,52894.64869,0.424818,0.010378,0.000565,0.006846,1,334.174418,-17.926271,-0.003731,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4cz,0.695,10.43,10.76,10.27,0.53,1.16,-3,-9.9,-9.11,-13.76,,,
